ID,EDAD,SEXO,CODIGO_DEPARTAMENTO,REGION,TIPO_PESCADOR,COBRO,MONTO,FECHA_CORTE,FECHA_PUBLICACION_PNDA
83,48,F,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
84,29,F,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
85,47,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
86,24,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
87,59,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
88,56,F,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
89,61,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
90,29,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
91,29,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
92,38,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
93,58,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
94,27,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
95,30,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
96,47,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
97,53,F,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
98,46,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
99,39,F,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
100,69,F,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
101,57,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
102,58,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
103,32,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
104,42,F,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
105,23,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
106,36,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
107,47,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
108,28,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
109,33,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
110,51,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
111,32,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
112,39,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
113,42,F,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
114,31,F,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
115,28,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
116,42,M,01,AMAZONAS,NO EMBARCADO,1,500,20230430,20230626
117,33,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
118,34,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
119,36,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
120,71,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
121,33,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
122,28,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
123,24,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
124,36,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
125,48,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
126,27,M,02,ANCASH,EMBARCADO,0,500,20230430,20230626
127,35,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
128,33,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
129,27,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
130,49,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
131,62,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
132,57,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
133,60,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
134,46,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
135,59,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
136,55,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
137,51,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
138,35,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
139,41,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
140,31,M,02,ANCASH,EMBARCADO,0,500,20230430,20230626
141,26,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
142,26,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
143,32,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
144,27,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
145,45,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
146,41,F,02,ANCASH,EMBARCADO,1,500,20230430,20230626
147,59,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
148,37,F,02,ANCASH,EMBARCADO,1,500,20230430,20230626
149,67,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
150,27,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
151,64,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
152,24,F,02,ANCASH,EMBARCADO,1,500,20230430,20230626
153,27,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
154,35,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
155,44,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
156,36,F,02,ANCASH,EMBARCADO,1,500,20230430,20230626
157,35,F,02,ANCASH,EMBARCADO,1,500,20230430,20230626
158,67,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
159,55,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
160,26,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
161,35,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
162,40,M,02,ANCASH,EMBARCADO,0,500,20230430,20230626
163,51,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
164,28,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
165,40,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
166,49,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
167,22,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
168,26,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
169,47,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
170,25,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
171,44,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
172,44,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
173,47,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
174,38,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
175,63,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
176,66,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
177,42,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
178,39,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
179,33,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
180,43,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
181,35,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
182,51,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
183,37,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
184,34,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
185,37,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
186,58,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
187,29,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
188,36,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
189,44,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
190,48,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
191,58,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
192,55,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
193,37,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
194,49,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
195,47,M,02,ANCASH,EMBARCADO,0,500,20230430,20230626
196,35,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
197,40,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
198,44,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
199,50,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
200,39,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
201,28,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
202,39,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
203,37,M,02,ANCASH,EMBARCADO,0,500,20230430,20230626
204,54,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
205,58,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
206,68,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
207,49,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
208,58,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
209,54,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
210,32,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
211,43,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
212,58,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
213,50,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
214,62,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
215,59,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
216,51,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
217,65,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
218,66,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
219,49,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
220,44,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
221,53,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
222,63,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
223,48,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
224,40,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
225,25,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
226,26,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
227,26,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
228,29,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
229,55,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
230,58,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
231,23,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
232,41,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
233,32,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
234,55,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
235,26,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
236,51,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
237,59,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
238,63,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
239,60,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
240,50,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
241,47,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
242,23,M,02,ANCASH,EMBARCADO,0,500,20230430,20230626
243,55,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
244,36,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
245,41,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
246,24,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
247,28,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
248,55,M,02,ANCASH,EMBARCADO,0,500,20230430,20230626
249,22,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
250,31,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
251,23,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
252,33,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
253,40,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
254,58,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
255,49,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
256,47,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
257,57,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
258,20,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
259,62,F,02,ANCASH,EMBARCADO,1,500,20230430,20230626
260,37,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
261,41,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
262,28,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
263,34,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
264,52,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
265,43,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
266,24,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
267,42,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
268,31,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
269,49,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
270,61,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
271,36,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
272,24,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
273,37,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
